,50s,60s,70s,80s,90s,00s,10s
and,-0.18868955031543053,2.479590649621587,0.27779428871589046,-1.2044277437611506,-0.03348074875682347,0.1402343574144101,-1.4710212529185112
angel,0.5988242478574285,-1.3372502956149024,-0.23950341571261,0.37078814797351783,1.1199944312394958,-0.08354569682835439,-0.4293074189145777
ani,-0.06031025081578636,0.8970115966961688,-1.011572166896386,0.5613042302927111,0.07333228855327681,-0.046235309030900555,-0.4135303887990802
anoth,-0.9021853347872385,0.17630348125327044,-0.9033482611963319,0.5951296872343013,0.7407018124969305,0.3414049665531513,-0.04800635155408149
anymor,-0.33597076930599906,-0.3796202298208185,-0.09641712067709274,0.47896480612024184,-0.017662033923699166,0.36469178887356196,-0.013986441266195884
anyth,-0.3859093173372003,-1.2036881744151129,-0.25394824475314165,0.6852679263303236,0.49810175853190003,0.3544443852104324,0.30573166643279265
apart,0.1181719219858004,-0.3922334096683654,-0.9849925663942682,0.6852581314572496,0.8486924400572724,-0.4610873449099889,0.18619082747230284
are,-0.10095743867112064,0.3737882520113104,-0.1204500156776032,-0.38919352259397855,0.6086583736671399,-0.1530593420176068,-0.2187863067181481
arm,0.6142107736520506,0.7486242705085703,-0.8472914709953112,0.34198230187750417,-0.47210083200089986,0.6388406342815525,-1.0242656773234686
around,0.2682572990949227,0.7355492563877426,-0.46274472059219024,0.5820055098327331,0.41573429199631096,-0.5239326754588203,-1.0148689612606887
as,0.8142743634368954,0.02668882062828949,0.653446016326481,-0.4393045593746076,0.23701016055713878,-0.45083955841110995,-0.8412752431630961
ask,0.2586212402117569,-0.2102922473669447,0.17336633202951493,0.5036634916018911,0.3345712629340412,-0.5401797750259019,-0.5197503043843519
ass,-0.4173138028732552,-0.3693633165745549,-0.2799600243023062,-0.4872619122043845,-0.11446352719502627,1.4878182465996135,0.1805443365499193
at,-0.1479141666345909,0.9707810028539946,-0.5423592765098048,-0.8237962948909927,-0.5444012628689018,0.6932235235243992,0.39446647452589145
away,-0.33252446548278486,0.5971911952791725,0.3485515993701199,0.18477933546195768,-0.2408840248854125,0.05226588952525049,-0.6093795292683069
ayi,-0.25891383244517563,-0.5157881284194731,-0.5909866991699353,-0.5441537975052327,-0.629370988955765,0.6965800504463077,1.8426333960492698
babe,0.5929723738429211,0.7109971086108817,0.21137865381997037,0.29315865296226823,-0.39493700693200473,-0.8599559158661745,-0.5536138664378606
babi,-0.3003139219245037,0.7324336649044131,-0.16330475334523642,-0.24691154165037282,1.2432163063432269,-0.35380313549418835,-0.9113166188333384
back,-0.4489019446832908,-0.06575181399344229,0.027518164285045596,-0.2837867611706669,0.42851314822998926,-0.148057258936153,0.49046646626851775
bad,-0.5938038308795287,0.05094169040989433,0.022906149900960144,-0.20629576397834515,-0.4500681805148955,-0.24510254167356782,1.4214224767354842
be,-0.3107364999854147,-0.3800807796634211,-0.6229427465802231,0.2469136847163177,-0.21245144791894546,0.46212529629023774,0.8171724931414437
beat,-0.24121216813854773,-1.3639020193872446,-1.3649129577043846,1.2064564236620021,0.5645418111325974,0.6901028927447025,0.5089260176908772
beauti,-0.543910889001047,-0.4013261589371419,0.2541808832406096,-0.4977966881074467,-0.6382626439183425,0.5722048227058796,1.2549106740174845
becaus,0.5729216718607391,0.5486885740438441,-0.3572078848990502,-0.5584736703261313,0.4039557762141268,0.5850179546938359,-1.1949024215873598
bed,-0.8038800000352375,-0.382018109131318,-0.23607219209166946,-0.34428070024826385,0.5713204892755065,0.17551405212414706,1.0194164601068394
