,50s,60s,70s,80s,90s,00s,10s
babi,-0.029640846715838685,0.013074932707199106,0.0032909617647634017,0.017056338760084576,0.022822574768319857,-0.005553365627397286,-0.02105059565713834
back,-0.10748541803904253,0.03186807952154891,0.020750696075299484,-0.0035786476809897398,0.022703408947053423,0.0061225078435833144,0.02961937333253046
bad,-0.03764789770925829,-0.01162683783425594,-0.0012738266814883799,0.0321526856792728,-0.06666754109165285,0.005194245726274979,0.07986917191109452
be,-0.038555130533701736,-0.012804301087913927,-0.01949492563019759,0.01724110905521988,-0.008462691647870686,0.02577747215661426,0.036298467687843505
beat,0.020246900114058882,-0.2952846088632868,-0.43001030942693225,0.1948545833807221,0.1663488733136223,0.16889712538557042,0.1749474360962326
beauti,-0.05624831714968668,-0.0022189960563690023,0.015195504693128165,-0.05790789667581528,-0.1348662964079734,0.08712255727319115,0.14892344432353238
becaus,0.13761999973579087,0.0812781492435695,-0.09198267455205196,-0.06992284075997907,0.031072049652136346,0.04340970269606954,-0.13147438601556927
bed,-0.558576820538921,0.08608948095611742,0.05818830273899391,-0.07766438286397796,0.14617672042748237,0.12115826529615858,0.22462843398401627
been,-0.033801079341508465,-0.11545110386867809,0.02068534437458832,0.011611695626302354,-0.10638570391997808,0.016280024837174997,0.2070608222920928
befor,-0.3528461136108408,0.18618139533821781,0.014959646928731592,0.08109176446936786,0.13418742846986004,0.04564546929324391,-0.10921959088864175
behind,-0.3522627268865136,0.3628571776921916,0.1540508521036185,0.07289245527090026,-0.05219111833295652,-0.03323749147175864,-0.15210914837567116
believ,-0.07932211041294839,-0.08719043321340031,0.040651176064700666,0.05283916741504627,0.03462342289534074,0.05583314429737241,-0.01743436704611185
belong,0.022199000226266075,0.0007107829137873074,-0.004303721788209244,-0.03170313834226406,-0.00839997909728407,0.03285513440684012,-0.011358078319155338
best,-0.02089061770614514,-0.07845112819625227,0.04038715881997201,0.05390948171937609,-0.020965262270123856,0.048378500212753334,-0.022368132579583512
better,-0.7935201986137518,0.0891827066260985,0.021010782455934976,0.14531812666930563,0.10359357659570845,0.24018650251874277,0.19422850374804923
big,0.0646297209222002,0.038738164597441366,-0.03520729146854765,-0.015441538172183137,0.025541602403644913,-0.05227395029308905,-0.025986707989473654
bit,-0.05093906940426181,0.08851489626641283,0.0646214622066408,-0.032372909212996855,0.013091245260020987,-0.03484899533511024,-0.048066629780702974
bitch,0.29875508520779387,0.03327681381948977,0.2347437170096106,-0.5505018624508227,-0.03089421438838622,-0.0684419920793994,0.08306245288178735
black,0.012986588052928204,-0.07452054282007593,0.019431946033495285,-0.06824745711782922,0.05321930098644959,-0.04474505021800783,0.10187521508307765
blame,0.026645522385939473,-0.32722644017532004,0.05910170833412891,0.08534475134328127,0.04502976396303637,0.04782178262692661,0.06328291152199869
blow,-0.13306222123213277,-0.1984781791734133,-0.04064926033117242,0.05510342487097809,0.06274681778788747,0.020892335130703096,0.2334470829471507
blue,0.2812167537090586,-0.00391148206473563,0.021359380398363027,0.027043943406431337,-0.06639058532049788,-0.029245127649686727,-0.23007288247882804
bodi,-0.5158846928536198,0.01017644325635237,-0.11847337585772601,0.010858124811524818,0.2276240979990442,0.17612466852630823,0.20957473411805924
boom,-0.07645350310714226,-0.24084719792379933,-0.22063420736151906,-0.09559667306608799,0.20571832520256422,0.20615599644037094,0.2216572598155375
born,-0.010910992907267205,0.01944886964114172,0.04012106182078393,0.016046808041075597,-0.2709645975127486,0.0923136630632347,0.11394518785379038
both,-0.1940577076381053,0.2085819347646551,0.29485189967019776,0.05714510603030212,-0.3526109096396834,-0.07748564080946177,0.06357531762211688
bout,-0.2762453105937691,0.04774017287968542,0.0030393450930301666,-0.16878852963430835,0.09686605005101157,0.12572830013727582,0.1716599720670697
boy,0.017744128209529527,-0.04415324202147806,-0.008733853084002917,0.02222702445797587,0.00423294857317815,0.022029450163014604,-0.013346456298215674
break,-0.032014504215642565,0.008737516125812894,0.023935419051311316,-0.05293595168696592,0.014417860765431839,0.032304806172717325,0.005554853787320919
breath,-1.4401938262719134,-0.17292173187759896,0.05920026617340308,0.3303094615026917,0.19984257710596956,0.5440033230980149,0.479759930269557
bring,-0.20625436675760317,0.10507529563760203,0.059499237446712434,0.04404950950891918,2.262164299952559e-06,-0.008196245603326846,0.005824307603400155
broken,0.07780864848413625,-0.18880526087336635,-0.09312344471129158,-0.0055159782657536,-0.1456182425544657,0.15104867545073902,0.2042056024700154
burn,0.08998767379735657,-0.051284441514045806,0.05097415731041656,0.002100453382078608,-0.026956787282776912,-0.02482995711207786,-0.03999109858093681
but,0.02780337495174127,-0.01196703150322663,-0.04750531949965587,-0.10461494204580814,0.014311395857406541,0.06147126577169064,0.060501256467808566
by,0.024917972401114586,0.06304701314740267,-0.03782722996462584,-0.020754597786023756,0.013812221153511422,0.042409478660042924,-0.08560485761137002
bye,0.4237453563561151,0.04885631953325365,0.28085271896985525,-0.9769860944347308,0.22277555028340643,0.3193119734301624,-0.3185558241380697
call,-0.14955685122750573,0.00615157229568175,0.017596545053804678,0.0563454375257599,-0.002551725045282136,0.04868612030031988,0.023328901097209805
came,-0.1641250287492932,-0.013226635944902044,0.08283663150663878,-0.05559475825556781,0.0352603716242373,-0.060813329026406356,0.1756627488452149
can,-0.061521000449049464,-0.032153523225829025,0.027908200053029044,0.014132572853634727,0.011292991829710618,0.027282548431295385,0.013058210507188311
cant,0.037228423551902756,-0.025156926767322344,0.01253967774552543,-0.0748307983906765,0.026407817968761307,0.023410843224295052,0.0004009626674932204
